firstName,lastName,attempts,completions,interceptions,touchdowns,yards,whenPlayed,ourTeam,ourScore,theirTeam,theirScore
Dutch,Reagan,28,9,1,1,62,2010-03-24,Boise Bearcats,13,Modesto Misanthropes,35
Dutch,Reagan,29,12,1,1,75,2010-03-31,Boise Bearcats,11,Fremont Firebugs,9
Dutch,Reagan,28,8,1,0,50,2010-04-07,Boise Bearcats,6,Montgomery Music,20
Dutch,Reagan,23,9,1,1,56,2010-04-14,Boise Bearcats,40,Spokane Stallions,41
William,Harrison,14,12,0,3,184,2010-04-14,Boise Bearcats,40,Spokane Stallions,41
Dutch,Reagan,26,11,1,1,62,2010-04-21,Boise Bearcats,10,Richmond Roustabouts,21
Dutch,Reagan,25,7,1,1,49,2010-04-28,Boise Bearcats,19,Yonkers Yellowjackets,30
Dutch,Reagan,31,9,1,1,65,2010-05-05,Boise Bearcats,17,Shreveport Seamen,14
Dutch,Reagan,26,7,1,1,48,2010-05-12,Boise Bearcats,11,San Bernardino Stalkers,9
Dutch,Reagan,18,6,1,0,32,2010-05-19,Boise Bearcats,15,Tacoma Touchdown-Scorers,38
William,Harrison,8,6,0,2,95,2010-05-19,Boise Bearcats,15,Tacoma Touchdown-Scorers,38
Dutch,Reagan,25,7,1,0,36,2010-05-26,Boise Bearcats,11,Glendale Centers,16
Dutch,Reagan,22,9,1,1,61,2010-06-02,Boise Bearcats,40,Des Moines Desperadoes,21
William,Harrison,15,11,0,3,178,2010-06-02,Boise Bearcats,40,Des Moines Desperadoes,21
Dutch,Reagan,38,11,1,1,76,2010-06-09,Boise Bearcats,8,Augusta Autocrats,0
Dutch,Reagan,35,15,1,0,103,2010-06-16,Boise Bearcats,8,Grand Rapids Gamers,17
Dutch,Reagan,26,8,1,0,58,2010-06-23,Boise Bearcats,9,Huntington Beach Harriers,6
Dutch,Reagan,22,8,1,0,53,2010-06-30,Boise Bearcats,25,Mobile Misfits,23
William,Harrison,15,11,0,2,199,2010-06-30,Boise Bearcats,25,Mobile Misfits,23
Dick,Nixon,34,20,0,3,319,2010-03-24,Modesto Misanthropes,33,Fremont Firebugs,20
Dick,Nixon,37,28,0,5,392,2010-03-31,Modesto Misanthropes,47,Montgomery Music,24
Dick,Nixon,27,19,0,3,266,2010-04-07,Modesto Misanthropes,29,Spokane Stallions,9
Dick,Nixon,25,18,0,2,248,2010-04-14,Modesto Misanthropes,24,Richmond Roustabouts,10
Dick,Nixon,29,22,0,4,284,2010-04-21,Modesto Misanthropes,40,Yonkers Yellowjackets,34
Dick,Nixon,20,13,0,2,191,2010-04-28,Modesto Misanthropes,22,Shreveport Seamen,41
Ike,Eisenhower,11,3,1,0,16,2010-04-28,Modesto Misanthropes,22,Shreveport Seamen,41
Dick,Nixon,30,19,0,3,292,2010-05-05,Modesto Misanthropes,31,San Bernardino Stalkers,7
Ike,Eisenhower,5,1,1,0,5,2010-05-05,Modesto Misanthropes,31,San Bernardino Stalkers,7
Dick,Nixon,31,23,0,5,353,2010-05-12,Modesto Misanthropes,45,Tacoma Touchdown-Scorers,23
Ike,Eisenhower,3,0,1,0,0,2010-05-12,Modesto Misanthropes,45,Tacoma Touchdown-Scorers,23
Dick,Nixon,31,22,0,4,361,2010-05-19,Modesto Misanthropes,37,Glendale Centers,41
Ike,Eisenhower,3,1,1,0,5,2010-05-19,Modesto Misanthropes,37,Glendale Centers,41
Dick,Nixon,30,23,0,4,355,2010-05-26,Modesto Misanthropes,34,Des Moines Desperadoes,20
Ike,Eisenhower,2,0,1,0,0,2010-05-26,Modesto Misanthropes,34,Des Moines Desperadoes,20
Dick,Nixon,27,17,0,3,222,2010-06-02,Modesto Misanthropes,23,Augusta Autocrats,24
Dick,Nixon,28,18,0,3,256,2010-06-09,Modesto Misanthropes,23,Grand Rapids Gamers,20
Ike,Eisenhower,2,0,1,0,0,2010-06-09,Modesto Misanthropes,23,Grand Rapids Gamers,20
Dick,Nixon,37,25,0,3,309,2010-06-16,Modesto Misanthropes,27,Huntington Beach Harriers,16
Dick,Nixon,27,21,0,5,348,2010-06-23,Modesto Misanthropes,46,Mobile Misfits,30
Dick,Nixon,26,18,0,4,264,2010-06-30,Modesto Misanthropes,37,Boise Bearcats,28
Ike,Eisenhower,2,0,1,0,0,2010-06-30,Modesto Misanthropes,37,Boise Bearcats,28
Dubya,Bush,39,12,1,0,47,2010-03-24,Fremont Firebugs,12,Montgomery Music,6
Dubya,Bush,34,12,1,1,49,2010-03-31,Fremont Firebugs,16,Spokane Stallions,13
Dubya,Bush,33,10,1,0,46,2010-04-07,Fremont Firebugs,12,Richmond Roustabouts,24
Dubya,Bush,39,14,1,0,55,2010-04-14,Fremont Firebugs,6,Yonkers Yellowjackets,28
Dubya,Bush,25,8,1,0,31,2010-04-21,Fremont Firebugs,5,Shreveport Seamen,17
Dubya,Bush,27,9,1,1,33,2010-04-28,Fremont Firebugs,10,San Bernardino Stalkers,44
Dubya,Bush,35,11,1,0,55,2010-05-05,Fremont Firebugs,2,Tacoma Touchdown-Scorers,21
Dubya,Bush,25,8,1,1,32,2010-05-12,Fremont Firebugs,11,Glendale Centers,13
Dubya,Bush,23,8,1,1,34,2010-05-19,Fremont Firebugs,16,Des Moines Desperadoes,10
Rutherford,Hayes,5,1,1,0,4,2010-05-19,Fremont Firebugs,16,Des Moines Desperadoes,10
Dubya,Bush,22,7,1,1,28,2010-05-26,Fremont Firebugs,10,Augusta Autocrats,16
Rutherford,Hayes,14,4,1,0,17,2010-05-26,Fremont Firebugs,10,Augusta Autocrats,16
Dubya,Bush,22,7,1,0,33,2010-06-02,Fremont Firebugs,10,Grand Rapids Gamers,38
Rutherford,Hayes,7,2,1,1,8,2010-06-02,Fremont Firebugs,10,Grand Rapids Gamers,38
Dubya,Bush,26,5,1,1,24,2010-06-09,Fremont Firebugs,13,Huntington Beach Harriers,28
Dubya,Bush,39,11,1,0,42,2010-06-16,Fremont Firebugs,10,Mobile Misfits,21
Dubya,Bush,28,9,1,0,39,2010-06-23,Fremont Firebugs,8,Boise Bearcats,35
Dubya,Bush,37,9,1,0,38,2010-06-30,Fremont Firebugs,9,Modesto Misanthropes,3
Millard,Fillmore,31,23,0,5,325,2010-03-24,Montgomery Music,46,Spokane Stallions,38
Millard,Fillmore,25,21,0,5,362,2010-03-31,Montgomery Music,35,Richmond Roustabouts,14
James,Madison,1,0,0,0,0,2010-03-31,Montgomery Music,35,Richmond Roustabouts,14
Millard,Fillmore,29,21,0,4,289,2010-04-07,Montgomery Music,34,Yonkers Yellowjackets,7
